id,run_id,round,alpha,method,accuracy,loss,f1,auc,n_anomalous,clean_ids,selected_method,selected_combination,agent_reasoning,seed
396,exp2_mAgent_a0.3_s2,4,0.3,Agent,68.29,0.6385,0.7908,0.8511,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Given the history of high heterogeneity and no recent anomalies, Trimmed Mean is appropriate for round 4.",2
397,exp2_mAgent_a0.3_s2,5,0.3,Agent,87.61,0.5501,0.9289,0.8806,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 4]",Round 5 shows a stable clean environment with no recent anomalies or noisy clients.,2
398,exp2_mAgent_a0.3_s2,6,0.3,Agent,47.2,0.7762,0.63,0.3126,2,"[0, 2, 4]",Trimmed Mean,"[0, 2]",Round 6 exhibits high heterogeneity and no recent anomalies.,2
399,exp2_mAgent_a0.3_s2,7,0.3,Agent,84.08,0.4466,0.9047,0.9251,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Round 7 shows no recent anomalies, and Trimmed Mean is suitable for the current high heterogeneity situation without anomalies.",2
400,exp2_mAgent_a0.3_s2,8,0.3,Agent,88.65,0.4522,0.9359,0.8762,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 4]","Round 8 shows no recent anomalies, and Trimmed Mean is suitable for the current high heterogeneity situation.",2
401,exp2_mAgent_a0.3_s3,1,0.3,Agent,60.14,0.9145,0.7197,0.8391,2,"[0, 1, 4]",Krum,"[0, 1, 4]","Client 2 and 3 have been anomalous in previous rounds, suggesting repeated anomalies.",3
402,exp2_mAgent_a0.3_s3,2,0.3,Agent,10.0,0.9923,0.0,0.8169,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","The selected combination is chosen to exclude anomalous clients and has low cosine similarity, suggesting noisy clients.",3
403,exp2_mAgent_a0.3_s3,3,0.3,Agent,39.61,0.8758,0.4963,0.8673,2,"[0, 1, 4]",Median,"[0, 1, 4]","The third round has a history of anomalous clients which suggests repeated anomalies, thus Krum is not suitable and Median is chosen due to high heterogeneity and low alpha.",3
404,exp2_mAgent_a0.3_s3,4,0.3,Agent,71.5,0.5256,0.8137,0.902,2,"[0, 1, 4]",Median,"[0, 1, 4]","Round 4 shows no anomalies, alpha is not low, and Median can handle high heterogeneity in absence of anomalies.",3
405,exp2_mAgent_a0.3_s3,5,0.3,Agent,56.35,0.6933,0.6812,0.9089,2,"[0, 1, 4]",Trimmed Mean,"[0, 1, 4]","Round 5 has no anomalous clients, and previous rounds with anomalies had high heterogeneity and low alpha, suggesting Median or Trimmed Mean is suitable.",3
406,exp2_mAgent_a0.3_s3,6,0.3,Agent,16.12,1.0544,0.1273,0.8202,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",High heterogeneity and the absence of anomalies in round 6 suggest Trimmed Mean as the appropriate method.,3
407,exp2_mAgent_a0.3_s3,7,0.3,Agent,73.84,0.5008,0.8317,0.9129,2,"[0, 1, 4]",Trimmed Mean,"[0, 1, 4]","Round 7 has no anomalous clients, and previous rounds with anomalies had high heterogeneity and low alpha, suggesting Trimmed Mean is suitable.",3
408,exp2_mAgent_a0.3_s3,8,0.3,Agent,82.84,0.3513,0.8963,0.9195,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 4]","Round 8 shows no anomalous clients, high heterogeneity, and a stable clean round history, suggesting Trimmed Mean is suitable.",3
409,exp2_mAgent_a0.3_s4,1,0.3,Agent,74.86,0.5141,0.8423,0.8263,0,"[0, 1, 2, 3, 4]",Krum,"[0, 1, 2, 3]","Clients 0, 1, 2, and 3 have been identified as having high cosine similarity scores and low weight variation, indicating they are not noisy, but the alpha is not zero, suggesting high heterogeneity and hence, Trimmed Mean would be preferred; however, Krum is chosen for its robustness to outliers.",4
410,exp2_mAgent_a0.3_s4,2,0.3,Agent,10.0,0.9927,0.0,0.8096,0,"[0, 1, 2, 3, 4]",Krum,"[0, 1, 2, 3]","Given the history of stable, non-anomalous aggregation and the need for robustness to outliers, Krum is the best choice.",4
411,exp2_mAgent_a0.3_s4,3,0.3,Agent,68.86,0.8102,0.7951,0.843,0,"[0, 1, 2, 3, 4]",Krum,"[0, 1, 2, 3]","Clients 0, 1, 2, and 3 have been identified as non-anomalous with high cosine similarity and low weight variation, thus Krum is the suitable robust aggregation method.",4
412,exp2_mAgent_a0.3_s4,4,0.3,Agent,66.02,0.5736,0.7707,0.8556,0,"[0, 1, 2, 3, 4]",Krum,"[0, 1, 2, 3]","Clients 0, 1, 2, and 3 have been identified as non-anomalous with high cosine similarity and low weight variation.",4
413,exp2_mAgent_a0.3_s4,5,0.3,Agent,58.95,0.6158,0.7067,0.8817,0,"[0, 1, 2, 3, 4]",Trimmed Mean,"[0, 1, 2, 3]",High heterogeneity and absence of anomalies favor Trimmed Mean over Krum.,4
414,exp2_mAgent_a0.3_s4,6,0.3,Agent,48.43,0.6992,0.5995,0.8999,0,"[0, 1, 2, 3, 4]",Trimmed Mean,"[0, 1, 2]","Given the current high heterogeneity and no anomalies, Trimmed Mean is more suitable than Krum.",4
415,exp2_mAgent_a0.3_s4,7,0.3,Agent,36.76,0.7837,0.4595,0.888,0,"[0, 1, 2, 3, 4]",Trimmed Mean,"[0, 1, 2]",The current high heterogeneity and no anomalies suggest Trimmed Mean over Krum.,4
416,exp2_mAgent_a0.3_s4,8,0.3,Agent,29.75,0.9025,0.3607,0.8609,0,"[0, 1, 2, 3, 4]",Trimmed Mean,"[0, 1, 2]","Given the current high heterogeneity and no anomalies, Trimmed Mean is more suitable than Krum.",4
417,exp2_mAgent_a0.3_s5,1,0.3,Agent,72.28,0.5693,0.8204,0.8923,1,"[0, 1, 2, 3]",Krum,"[0, 1, 2]","Clients 4 is anomalous and should be excluded; we are in a clean round with no repeated anomalies, and alpha is not too low, suggesting heterogeneity might not be very high.",5
418,exp2_mAgent_a0.3_s5,2,0.3,Agent,84.46,0.3523,0.9076,0.9109,2,"[0, 1, 2]",Krum,"[0, 1]",Exclude client 4 for anomaly and utilize Krum for heterogeneity.,5
419,exp2_mAgent_a0.3_s5,3,0.3,Agent,60.2,0.6565,0.7412,0.4856,2,"[0, 1, 2]",Trimmed Mean,"[0, 1, 2]",Alpha is low indicating high heterogeneity and no anomalies; Trimmed Mean mitigates noise.,5
420,exp2_mAgent_a0.3_s5,4,0.3,Agent,77.6,0.491,0.8616,0.8682,1,"[0, 1, 2, 3]",Trimmed Mean,"[0, 1, 2]","High alpha indicates high heterogeneity and no anomalies, Trimmed Mean mitigates noise.",5
421,exp2_mAgent_a0.3_s5,5,0.3,Agent,91.57,0.5006,0.9545,0.7911,1,"[0, 1, 2, 3]",Trimmed Mean,"[0, 1, 3]","In round 5, we have one anomalous client and a moderate level of heterogeneity, suggesting Trimmed Mean to mitigate noise and anomaly.",5
422,exp2_mAgent_a0.3_s5,6,0.3,Agent,38.96,0.9928,0.5284,0.4124,2,"[0, 1, 2]",Trimmed Mean,"[0, 1]","Client 4 is anomalous; Trimmed Mean is suitable for non-anomalous, heterogeneous data.",5
423,exp2_mAgent_a0.3_s5,7,0.3,Agent,45.75,0.8006,0.5954,0.5484,2,"[0, 1, 2]",Trimmed Mean,"[0, 1]","High heterogeneity and presence of anomalous clients, thus Trimmed Mean is suitable to mitigate noise and anomaly.",5
424,exp2_mAgent_a0.3_s5,8,0.3,Agent,88.18,0.3247,0.932,0.9057,1,"[0, 1, 2, 3]",Trimmed Mean,"[0, 1, 2]",High heterogeneity and no anomalies in the last round.,5
425,exp2_mAgent_a1.0_s1,1,1.0,Agent,86.94,0.3834,0.924,0.9024,2,"[0, 1, 4]",Trimmed Mean,"[0, 1, 4]",Selected combination is not anomalous and using Trimmed Mean to mitigate noise from clients.,1
426,exp2_mAgent_a1.0_s1,2,1.0,Agent,85.51,0.3262,0.9141,0.9273,2,"[0, 1, 4]",Trimmed Mean,"[0, 1, 4]","Client combination [0, 1, 4] excludes anomalous clients and Trimmed Mean is suitable for the current round considering the history of noise.",1
427,exp2_mAgent_a1.0_s1,3,1.0,Agent,10.17,1.0603,0.0038,0.8195,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Excludes anomalous client 3 and reduces the impact of noise, suitable for the presence of anomalies and heterogeneity in previous rounds.",1
428,exp2_mAgent_a1.0_s1,4,1.0,Agent,85.89,0.3168,0.9163,0.9314,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1]","Client combination [0, 1] excludes anomalous client and history shows Trimmed Mean suits noisy rounds.",1
429,exp2_mAgent_a1.0_s1,5,1.0,Agent,85.72,0.3305,0.9151,0.9371,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 4]","Client combination [0, 1, 4] excludes the anomalous client and history suggests Trimmed Mean to handle noise.",1
430,exp2_mAgent_a1.0_s1,6,1.0,Agent,86.49,0.3045,0.9201,0.939,2,"[0, 1, 4]",Trimmed Mean,"[0, 1]",Excludes anomalous client and reduces noise impact with historical performance in mind.,1
431,exp2_mAgent_a1.0_s1,7,1.0,Agent,89.54,0.2577,0.9394,0.9435,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 4]","Client combination [0, 1, 4] excludes anomalous client and history shows Trimmed Mean suits noisy rounds.",1
432,exp2_mAgent_a1.0_s1,8,1.0,Agent,90.35,0.2442,0.9443,0.9467,2,"[0, 1, 4]",Trimmed Mean,"[0, 1, 4]","Client combination [0, 1, 4] excludes the anomalous client and history suggests Trimmed Mean to handle noise.",1
433,exp2_mAgent_a1.0_s2,1,1.0,Agent,75.17,0.5202,0.8432,0.8766,1,"[1, 2, 3, 4]",Krum,"[1, 2, 3]","Client 0 is anomalous and excluded, and there are no signals of noisy or high heterogeneity clients.",2
434,exp2_mAgent_a1.0_s2,2,1.0,Agent,11.22,2.1335,0.1642,0.0846,0,"[0, 1, 2, 3, 4]",Krum,"[0, 1, 2, 3]","Client 4 is anomalous and excluded, there are no signals of noisy or high heterogeneity clients, and this is not the first round.",2
435,exp2_mAgent_a1.0_s2,3,1.0,Agent,63.12,0.5939,0.7434,0.9279,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Round 3 has no detected anomalous clients and is stable, but with alpha=1.0, Krum is still appropriate to handle potential heterogeneity.",2
436,exp2_mAgent_a1.0_s2,4,1.0,Agent,79.06,0.4227,0.8697,0.9314,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Round 4 has no detected anomalous clients and is stable, with alpha=1.0 favoring Trimmed Mean to handle potential heterogeneity.",2
437,exp2_mAgent_a1.0_s2,5,1.0,Agent,85.41,0.32,0.913,0.937,2,"[1, 2, 4]",Trimmed Mean,"[1, 2]",Round 5 is stable with no detected anomalous clients and no indication of high heterogeneity or noisy behavior.,2
438,exp2_mAgent_a1.0_s2,6,1.0,Agent,87.46,0.2835,0.9263,0.9428,1,"[0, 1, 2, 4]",Trimmed Mean,"[1, 2]",Stable clean round with no detected anomalous clients and no indication of high heterogeneity or noisy behavior.,2
439,exp2_mAgent_a1.0_s2,7,1.0,Agent,88.35,0.2795,0.9319,0.9454,1,"[0, 1, 2, 4]",Trimmed Mean,"[1, 2]",Round 7 is stable with no detected anomalous clients and no indication of high heterogeneity or noisy behavior.,2
440,exp2_mAgent_a1.0_s2,8,1.0,Agent,85.4,0.3376,0.9128,0.9436,1,"[0, 1, 2, 4]",Trimmed Mean,"[1, 2]","Round 8 is a clean round with no anomalous clients, and using Trimmed Mean as there is no high heterogeneity or noisy behavior detected.",2
441,exp2_mAgent_a1.0_s3,1,1.0,Agent,50.34,0.6937,0.6261,0.7586,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This combination excludes the anomalous client and addresses the noisy nature implied by the low alpha value.,3
442,exp2_mAgent_a1.0_s3,2,1.0,Agent,61.65,0.654,0.7326,0.8696,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This combination excludes the anomalous client and addresses the noisy nature implied by the low alpha value.,3
443,exp2_mAgent_a1.0_s3,3,1.0,Agent,76.04,0.5596,0.8519,0.8079,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This method addresses the noisy nature and ensures only clean clients are aggregated.,3
444,exp2_mAgent_a1.0_s3,4,1.0,Agent,68.88,0.5953,0.7937,0.8859,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]","Client combination [0, 1, 2] is chosen to exclude the anomalous client and address the noisy nature implied by the low alpha value.",3
445,exp2_mAgent_a1.0_s3,5,1.0,Agent,58.79,0.6472,0.7064,0.8481,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This method addresses the noisy nature and ensures only clean clients are aggregated.,3
446,exp2_mAgent_a1.0_s3,6,1.0,Agent,47.26,0.7204,0.5926,0.7405,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This method addresses the noisy nature and ensures only clean clients are aggregated.,3
447,exp2_mAgent_a1.0_s3,7,1.0,Agent,73.01,0.5225,0.8278,0.8458,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This method addresses the noisy nature and ensures only clean clients are aggregated.,3
448,exp2_mAgent_a1.0_s3,8,1.0,Agent,39.99,0.8457,0.5065,0.7482,1,"[0, 1, 2, 4]",Trimmed Mean,"[0, 1, 2]",This method addresses the noisy nature and ensures only clean clients are aggregated.,3
449,exp2_mAgent_a1.0_s4,1,1.0,Agent,82.29,0.4278,0.8932,0.8941,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","Round 1 with anomalies detected, hence using Krum for anomaly resilience.",4
450,exp2_mAgent_a1.0_s4,2,1.0,Agent,85.84,0.3427,0.9165,0.9173,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","There are anomalies detected, and Median and Trimmed Mean are not suitable due to high heterogeneity (alpha=1.0).",4
451,exp2_mAgent_a1.0_s4,3,1.0,Agent,80.85,0.4181,0.8828,0.922,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","Round 3 has anomalies and high heterogeneity, hence using Krum aggregation method.",4
452,exp2_mAgent_a1.0_s4,4,1.0,Agent,87.07,0.3022,0.9242,0.9255,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","Round 4 has anomalies and high heterogeneity, hence using Krum aggregation method.",4
453,exp2_mAgent_a1.0_s4,5,1.0,Agent,87.53,0.3451,0.9271,0.9211,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","Round 5 has anomalies and high heterogeneity, hence using Krum for anomaly resilience.",4
454,exp2_mAgent_a1.0_s4,6,1.0,Agent,89.93,0.3339,0.9422,0.9234,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","Round 6 has anomalies detected and high heterogeneity, hence using Krum aggregation method.",4
455,exp2_mAgent_a1.0_s4,7,1.0,Agent,91.68,0.2882,0.953,0.9199,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]","The selected combination exhibits high cosine similarity, ensuring effective aggregation despite the presence of anomalies.",4
456,exp2_mAgent_a1.0_s4,8,1.0,Agent,89.8,0.3652,0.9413,0.9257,1,"[0, 1, 2, 4]",Krum,"[0, 1, 2]",The selected combination has high cosine similarity and exhibits good performance in the presence of anomalies.,4
457,exp2_mAgent_a1.0_s5,1,1.0,Agent,83.0,0.3964,0.8977,0.9174,1,"[0, 1, 3, 4]",Krum,"[0, 1, 3]",Excluded anomalous client 2 and chosen Krum due to no repeated anomalies and potential noise.,5
458,exp2_mAgent_a1.0_s5,2,1.0,Agent,90.81,0.6133,0.9504,0.8737,1,"[0, 1, 3, 4]",Median,"[0, 1, 3, 4]","High heterogeneity with alpha less than 1.0, thus Median is suitable for noisy clients without anomalies.",5
459,exp2_mAgent_a1.0_s5,3,1.0,Agent,74.61,0.5325,0.8372,0.9272,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]","To handle high heterogeneity with alpha less than 1.0 and potential noise, Median is more suitable than Krum which is better for low heterogeneity.",5
460,exp2_mAgent_a1.0_s5,4,1.0,Agent,67.52,0.5537,0.7814,0.9099,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]","High heterogeneity with alpha less than 1.0, thus Median is suitable for noisy clients without anomalies.",5
461,exp2_mAgent_a1.0_s5,5,1.0,Agent,44.42,0.6727,0.5551,0.8515,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]",Median method is chosen to handle high heterogeneity with alpha less than 1.0 and to accommodate potential noise from non-anomalous clients.,5
462,exp2_mAgent_a1.0_s5,6,1.0,Agent,59.01,0.5961,0.7071,0.8773,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]",High heterogeneity with alpha less than 1.0 and potential noise from non-anomalous clients.,5
463,exp2_mAgent_a1.0_s5,7,1.0,Agent,54.8,0.6665,0.6691,0.8258,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]","Considering the high heterogeneity and potential noise from non-anomalous clients, Median is more suitable than Krum.",5
464,exp2_mAgent_a1.0_s5,8,1.0,Agent,57.44,0.6349,0.6933,0.8529,1,"[0, 1, 3, 4]",Median,"[0, 1, 3]","Median is more suitable for handling high heterogeneity with alpha less than 1.0 and potential noise, considering Krum is better for low heterogeneity.",5
1,exp2_mFedAvg_a0.3_s1,1,0.3,FedAvg,90.0,0.3466,0.9474,0.7878,2,"[1, 3, 4]",FedAvg,"[1, 3, 4]",Fixed baseline,1
2,exp2_mFedAvg_a0.3_s1,2,0.3,FedAvg,80.23,0.4968,0.8799,0.8589,3,"[3, 4]",FedAvg,"[3, 4]",Fixed baseline,1
3,exp2_mFedAvg_a0.3_s1,3,0.3,FedAvg,91.06,0.2655,0.9525,0.8418,2,"[1, 3, 4]",FedAvg,"[1, 3, 4]",Fixed baseline,1
4,exp2_mFedAvg_a0.3_s1,4,0.3,FedAvg,86.64,0.4152,0.9225,0.886,3,"[3, 4]",FedAvg,"[3, 4]",Fixed baseline,1
5,exp2_mFedAvg_a0.3_s1,5,0.3,FedAvg,91.24,0.2503,0.9533,0.8556,2,"[1, 3, 4]",FedAvg,"[1, 3, 4]",Fixed baseline,1
6,exp2_mFedAvg_a0.3_s1,6,0.3,FedAvg,78.29,0.5132,0.8652,0.896,3,"[3, 4]",FedAvg,"[3, 4]",Fixed baseline,1
7,exp2_mFedAvg_a0.3_s1,7,0.3,FedAvg,91.57,0.2421,0.9551,0.8816,2,"[1, 3, 4]",FedAvg,"[1, 3, 4]",Fixed baseline,1
8,exp2_mFedAvg_a0.3_s1,8,0.3,FedAvg,85.21,0.3566,0.9125,0.9109,3,"[3, 4]",FedAvg,"[3, 4]",Fixed baseline,1
9,exp2_mFedAvg_a0.3_s2,1,0.3,FedAvg,76.02,0.5892,0.8488,0.9001,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
10,exp2_mFedAvg_a0.3_s2,2,0.3,FedAvg,87.68,0.5494,0.9287,0.9132,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
11,exp2_mFedAvg_a0.3_s2,3,0.3,FedAvg,90.18,0.4,0.944,0.9278,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
12,exp2_mFedAvg_a0.3_s2,4,0.3,FedAvg,87.84,0.4639,0.9292,0.9275,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
13,exp2_mFedAvg_a0.3_s2,5,0.3,FedAvg,88.57,0.4472,0.9339,0.927,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
14,exp2_mFedAvg_a0.3_s2,6,0.3,FedAvg,91.99,0.359,0.9552,0.9292,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
15,exp2_mFedAvg_a0.3_s2,7,0.3,FedAvg,87.85,0.3917,0.9292,0.93,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
16,exp2_mFedAvg_a0.3_s2,8,0.3,FedAvg,91.76,0.2773,0.9537,0.9275,1,"[0, 1, 2, 4]",FedAvg,"[0, 1, 2, 4]",Fixed baseline,2
17,exp2_mFedAvg_a0.3_s3,1,0.3,FedAvg,81.45,0.6088,0.8886,0.8644,2,"[0, 1, 4]",FedAvg,"[0, 1, 4]",Fixed baseline,3
18,exp2_mFedAvg_a0.3_s3,2,0.3,FedAvg,90.02,0.3637,0.9475,0.8841,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,3
19,exp2_mFedAvg_a0.3_s3,3,0.3,FedAvg,90.58,0.3338,0.9501,0.8917,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,3
20,exp2_mFedAvg_a0.3_s3,4,0.3,FedAvg,90.69,0.3064,0.9507,0.8615,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,3
21,exp2_mFedAvg_a0.3_s3,5,0.3,FedAvg,91.67,0.3008,0.9553,0.8967,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,3
22,exp2_mFedAvg_a0.3_s3,6,0.3,FedAvg,92.01,0.2601,0.9566,0.9043,2,"[0, 1, 3]",FedAvg,"[0, 1, 3]",Fixed baseline,3
23,exp2_mFedAvg_a0.3_s3,7,0.3,FedAvg,92.6,0.2334,0.9601,0.9171,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,3
24,exp2_mFedAvg_a0.3_s4,1,0.3,FedAvg,90.02,0.6467,0.945,0.8331,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
25,exp2_mFedAvg_a0.3_s4,2,0.3,FedAvg,76.42,0.6217,0.8513,0.9145,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
26,exp2_mFedAvg_a0.3_s4,3,0.3,FedAvg,84.02,0.4726,0.9041,0.9252,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
27,exp2_mFedAvg_a0.3_s4,4,0.3,FedAvg,82.08,0.4295,0.8908,0.9342,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
28,exp2_mFedAvg_a0.3_s4,5,0.3,FedAvg,83.83,0.4365,0.9025,0.9378,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
29,exp2_mFedAvg_a0.3_s4,6,0.3,FedAvg,82.79,0.4046,0.8954,0.9414,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
30,exp2_mFedAvg_a0.3_s4,7,0.3,FedAvg,87.18,0.367,0.9244,0.9443,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
31,exp2_mFedAvg_a0.3_s4,8,0.3,FedAvg,83.09,0.4253,0.8974,0.942,0,"[0, 1, 2, 3, 4]",FedAvg,"[0, 1, 2, 3, 4]",Fixed baseline,4
32,exp2_mFedAvg_a0.3_s5,1,0.3,FedAvg,91.05,0.5271,0.9512,0.8839,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
33,exp2_mFedAvg_a0.3_s5,2,0.3,FedAvg,91.5,0.4791,0.9534,0.8895,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
34,exp2_mFedAvg_a0.3_s5,3,0.3,FedAvg,91.98,0.4086,0.956,0.8992,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
35,exp2_mFedAvg_a0.3_s5,4,0.3,FedAvg,92.48,0.4243,0.9589,0.8979,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
36,exp2_mFedAvg_a0.3_s5,5,0.3,FedAvg,81.91,0.4765,0.8939,0.827,2,"[0, 1, 2]",FedAvg,"[0, 1, 2]",Fixed baseline,5
37,exp2_mFedAvg_a0.3_s5,6,0.3,FedAvg,92.09,0.3704,0.9564,0.9048,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
38,exp2_mFedAvg_a0.3_s5,7,0.3,FedAvg,76.34,0.5381,0.8564,0.7808,2,"[0, 1, 2]",FedAvg,"[0, 1, 2]",Fixed baseline,5
39,exp2_mFedAvg_a0.3_s5,8,0.3,FedAvg,88.41,0.4171,0.9337,0.889,1,"[0, 1, 2, 3]",FedAvg,"[0, 1, 2, 3]",Fixed baseline,5
40,exp2_mFedAvg_a1.0_s1,1,1.0,FedAvg,87.05,0.3883,0.9247,0.9016,2,"[0, 1, 4]",FedAvg,"[0, 1, 4]",Fixed baseline,1
41,exp2_mFedAvg_a1.0_s1,2,1.0,FedAvg,90.18,0.4131,0.9444,0.9123,1,"[0, 1, 3, 4]",FedAvg,"[0, 1, 3, 4]",Fixed baseline,1
